hugo_symbol	n.x	status	n.y	perc
A1CF	1	AfrAmr	1	100
A2ML1	1	AfrAmr	3	33.33333333333333
AACS	1	AfrAmr	1	100
AADAC	1	AfrAmr	1	100
ABCA13	1	AfrAmr	4	25
ABCB8	1	AfrAmr	1	100
ABCC8	1	AfrAmr	1	100
ABCG4	1	AfrAmr	1	100
ABLIM2	1	AfrAmr	2	50
ACAN	1	AfrAmr	2	50
ACE	1	AfrAmr	2	50
ACHE	1	AfrAmr	1	100
ACTA1	1	AfrAmr	1	100
ACVR1B	1	AfrAmr	1	100
ACVR2A	1	AfrAmr	2	50
ADAD1	1	AfrAmr	1	100
ADCY3	1	AfrAmr	1	100
ADD3	1	AfrAmr	2	50
ADGRA1	1	AfrAmr	1	100
ADGRF4	1	AfrAmr	1	100
ADGRV1	1	AfrAmr	1	100
ADIPOR2	1	AfrAmr	1	100
ADRA1D	1	AfrAmr	2	50
ADRA2A	1	AfrAmr	1	100
ADRB1	1	AfrAmr	1	100
AFAP1	1	AfrAmr	1	100
AFF2	1	AfrAmr	2	50
AFF3	1	AfrAmr	2	50
AFG3L2	1	AfrAmr	1	100
AGMAT	1	AfrAmr	1	100
AGTPBP1	1	AfrAmr	1	100
AHI1	1	AfrAmr	1	100
AHNAK2	1	AfrAmr	1	100
AIG1	1	AfrAmr	1	100
AIM1L	1	AfrAmr	1	100
AJAP1	1	AfrAmr	1	100
AK7	1	AfrAmr	2	50
AKAP13	1	AfrAmr	2	50
AKAP17A	1	AfrAmr	1	100
AKAP7	1	AfrAmr	1	100
AKAP8L	1	AfrAmr	1	100
AKAP9	1	AfrAmr	2	50
AKR7A3	1	AfrAmr	1	100
AKT3	1	AfrAmr	1	100
ALAS1	1	AfrAmr	2	50
ALCAM	1	AfrAmr	1	100
ALDH18A1	1	AfrAmr	1	100
ALDH1A3	1	AfrAmr	1	100
ALDOC	1	AfrAmr	1	100
ALG1	1	AfrAmr	1	100
ALMS1	1	AfrAmr	1	100
ALPK1	1	AfrAmr	1	100
ALPL	2	AfrAmr	1	200
ALS2	1	AfrAmr	1	100
AMER3	1	AfrAmr	1	100
ANGPT2	1	AfrAmr	1	100
ANK2	1	AfrAmr	2	50
ANK3	1	AfrAmr	2	50
ANKAR	1	AfrAmr	1	100
ANKIB1	1	AfrAmr	1	100
ANKMY1	1	AfrAmr	2	50
ANKRD30A	1	AfrAmr	1	100
ANKS6	1	AfrAmr	1	100
ANO3	1	AfrAmr	1	100
ANXA4	1	AfrAmr	1	100
AP2B1	1	AfrAmr	2	50
AP3B1	1	AfrAmr	2	50
AP3B2	1	AfrAmr	1	100
AP3S1	1	AfrAmr	1	100
AP4E1	1	AfrAmr	1	100
AP5B1	1	AfrAmr	1	100
APBA2	1	AfrAmr	2	50
APBA3	1	AfrAmr	1	100
APLP2	1	AfrAmr	1	100
ARAP2	1	AfrAmr	1	100
AREL1	1	AfrAmr	2	50
ARFGEF1	1	AfrAmr	1	100
ARFGEF2	1	AfrAmr	1	100
ARHGAP20	1	AfrAmr	1	100
ARHGAP22	1	AfrAmr	1	100
ARHGAP29	1	AfrAmr	1	100
ARHGAP31	1	AfrAmr	1	100
ARHGAP33	1	AfrAmr	2	50
ARHGAP4	1	AfrAmr	1	100
ARHGEF10L	1	AfrAmr	1	100
ARHGEF3	1	AfrAmr	1	100
ARHGEF4	1	AfrAmr	2	50
ARHGEF40	1	AfrAmr	1	100
ARID1A	2	AfrAmr	2	100
ARID2	1	AfrAmr	2	50
ARID5B	1	AfrAmr	1	100
ARRDC3	1	AfrAmr	1	100
ASTE1	1	AfrAmr	2	50
ASXL1	1	AfrAmr	1	100
ATAT1	1	AfrAmr	1	100
ATIC	1	AfrAmr	1	100
ATP10A	1	AfrAmr	3	33.33333333333333
ATP11A	1	AfrAmr	2	50
ATP1A2	1	AfrAmr	1	100
ATP6V1C2	1	AfrAmr	1	100
ATP7A	1	AfrAmr	1	100
ATP8B1	1	AfrAmr	1	100
ATP8B3	1	AfrAmr	1	100
ATP9A	1	AfrAmr	2	50
ATP9B	1	AfrAmr	1	100
ATXN7	1	AfrAmr	1	100
AVPR1A	1	AfrAmr	2	50
AXIN1	3	AfrAmr	1	300
B3GALT4	1	AfrAmr	1	100
B3GAT1	1	AfrAmr	1	100
B3GAT3	1	AfrAmr	1	100
B4GALNT2	1	AfrAmr	1	100
B4GALNT4	1	AfrAmr	3	33.33333333333333
BBS12	1	AfrAmr	1	100
BCL7C	1	AfrAmr	1	100
BCL9	1	AfrAmr	2	50
BDKRB1	1	AfrAmr	1	100
BIRC6	1	AfrAmr	2	50
BIVM-ERCC5	1	AfrAmr	1	100
BLM	1	AfrAmr	1	100
BLOC1S1	1	AfrAmr	1	100
BMP1	1	AfrAmr	1	100
BMP3	1	AfrAmr	1	100
BMP4	1	AfrAmr	1	100
BMPR1B	1	AfrAmr	1	100
BPHL	1	AfrAmr	1	100
BPTF	2	AfrAmr	1	200
BRD1	1	AfrAmr	1	100
BRD9	1	AfrAmr	1	100
BRINP3	1	AfrAmr	2	50
BRWD1	1	AfrAmr	2	50
BSCL2	1	AfrAmr	1	100
BSN	1	AfrAmr	1	100
BTBD17	1	AfrAmr	2	50
BTBD9	1	AfrAmr	2	50
C10orf2	1	AfrAmr	1	100
C10orf71	1	AfrAmr	1	100
C10orf90	1	AfrAmr	1	100
C12orf40	1	AfrAmr	1	100
C17orf47	1	AfrAmr	1	100
C17orf53	1	AfrAmr	1	100
C17orf74	1	AfrAmr	2	50
C18orf54	1	AfrAmr	1	100
C18orf8	1	AfrAmr	1	100
C19orf26	1	AfrAmr	1	100
C1orf109	1	AfrAmr	1	100
C1orf168	1	AfrAmr	1	100
C1QL1	1	AfrAmr	1	100
C1R	1	AfrAmr	1	100
C3orf30	1	AfrAmr	1	100
C3orf33	1	AfrAmr	1	100
C4orf26	1	AfrAmr	1	100
C5orf42	1	AfrAmr	2	50
C6orf89	1	AfrAmr	1	100
C9orf172	1	AfrAmr	2	50
C9orf84	1	AfrAmr	1	100
CA2	1	AfrAmr	1	100
CABLES2	1	AfrAmr	1	100
CACHD1	1	AfrAmr	1	100
CACNA1E	1	AfrAmr	1	100
CACNA1G	1	AfrAmr	1	100
CACNA1S	1	AfrAmr	2	50
CACNA2D3	1	AfrAmr	3	33.33333333333333
CACNG5	1	AfrAmr	1	100
CACTIN	1	AfrAmr	1	100
CAMSAP1	1	AfrAmr	1	100
CAMSAP2	1	AfrAmr	2	50
CAMTA1	1	AfrAmr	2	50
CAPN1	1	AfrAmr	2	50
CAPN9	1	AfrAmr	1	100
CARD10	1	AfrAmr	1	100
CARNS1	1	AfrAmr	1	100
CASD1	1	AfrAmr	1	100
CASQ2	1	AfrAmr	1	100
CASZ1	1	AfrAmr	2	50
CATSPER4	1	AfrAmr	1	100
CATSPERB	1	AfrAmr	2	50
CBFA2T2	1	AfrAmr	2	50
CBLL1	1	AfrAmr	1	100
CBLN2	1	AfrAmr	1	100
CCBL1	1	AfrAmr	1	100
CCDC121	1	AfrAmr	1	100
CCDC129	1	AfrAmr	1	100
CCDC141	1	AfrAmr	1	100
CCDC178	1	AfrAmr	1	100
CCDC181	1	AfrAmr	1	100
CCDC73	1	AfrAmr	2	50
CCDC74A	2	AfrAmr	1	200
CCDC74B	2	AfrAmr	1	200
CCDC80	1	AfrAmr	2	50
CCDC86	1	AfrAmr	1	100
CCKBR	1	AfrAmr	2	50
CCL2	1	AfrAmr	1	100
CCND1	1	AfrAmr	1	100
CD200R1L	1	AfrAmr	1	100
CD40LG	1	AfrAmr	1	100
CD6	1	AfrAmr	1	100
CD84	1	AfrAmr	1	100
CDC20	1	AfrAmr	1	100
CDC42BPG	1	AfrAmr	1	100
CDC7	1	AfrAmr	1	100
CDCP1	1	AfrAmr	1	100
CDH1	1	AfrAmr	2	50
CDH17	1	AfrAmr	3	33.33333333333333
CDH24	1	AfrAmr	1	100
CDH5	1	AfrAmr	1	100
CDH7	1	AfrAmr	1	100
CDH9	1	AfrAmr	1	100
CDHR1	2	AfrAmr	2	100
CDHR5	1	AfrAmr	1	100
CDYL2	1	AfrAmr	1	100
CELSR1	2	AfrAmr	1	200
CELSR3	2	AfrAmr	2	100
CENPC	2	AfrAmr	1	200
CENPF	1	AfrAmr	1	100
CENPT	1	AfrAmr	1	100
CEP131	1	AfrAmr	1	100
CEP290	1	AfrAmr	1	100
CFAP46	1	AfrAmr	2	50
CFI	1	AfrAmr	1	100
CFP	1	AfrAmr	1	100
CFTR	1	AfrAmr	1	100
CHAF1A	1	AfrAmr	1	100
CHD3	2	AfrAmr	1	200
CHD5	1	AfrAmr	5	20
CHD6	1	AfrAmr	1	100
CHDH	1	AfrAmr	2	50
CHRDL1	1	AfrAmr	1	100
CHRFAM7A	1	AfrAmr	1	100
CHRM3	1	AfrAmr	1	100
CHRNB4	1	AfrAmr	1	100
CHRNE	1	AfrAmr	1	100
CHST5	1	AfrAmr	1	100
CHST6	1	AfrAmr	2	50
CIC	1	AfrAmr	1	100
CILP2	1	AfrAmr	1	100
CIT	1	AfrAmr	1	100
CKAP5	1	AfrAmr	2	50
CLASP2	1	AfrAmr	1	100
CLDN9	1	AfrAmr	1	100
CLIP1	1	AfrAmr	3	33.33333333333333
CLK3	1	AfrAmr	1	100
CMIP	1	AfrAmr	2	50
