hugo_symbol	n.x	status	n.y	perc
ABCA13	1	AfrAmr	4	25
ABCG8	1	AfrAmr	3	33.33333333333333
ACER2	1	AfrAmr	1	100
ACTC1	1	AfrAmr	2	50
ACTL9	1	AfrAmr	2	50
ACTN4	1	AfrAmr	1	100
ACTRT1	1	AfrAmr	2	50
ACVR1C	1	AfrAmr	1	100
ADAM18	1	AfrAmr	1	100
ADAM23	1	AfrAmr	2	50
ADAMTSL3	1	AfrAmr	3	33.33333333333333
ADGRE3	1	AfrAmr	1	100
AHNAK	1	AfrAmr	8	12.5
ALPK1	2	AfrAmr	1	200
ALS2CL	1	AfrAmr	1	100
AMER1	1	AfrAmr	2	50
ANAPC5	1	AfrAmr	2	50
ANK2	1	AfrAmr	8	12.5
ANK3	1	AfrAmr	5	20
ANKRD35	1	AfrAmr	2	50
ANO4	1	AfrAmr	3	33.33333333333333
ANXA10	1	AfrAmr	1	100
APLF	1	AfrAmr	1	100
APOB	1	AfrAmr	9	11.11111111111111
AQP8	1	AfrAmr	1	100
AREL1	1	AfrAmr	1	100
ARHGAP12	1	AfrAmr	3	33.33333333333333
ARMC4	1	AfrAmr	4	25
ARMCX2	1	AfrAmr	2	50
ARMCX3	1	AfrAmr	1	100
ASB12	1	AfrAmr	2	50
ASB9	1	AfrAmr	2	50
ASTN2	2	AfrAmr	5	40
ATF2	1	AfrAmr	1	100
ATP4B	1	AfrAmr	1	100
ATP8B2	1	AfrAmr	3	33.33333333333333
ATP8B4	1	AfrAmr	2	50
ATRX	1	AfrAmr	3	33.33333333333333
BARD1	1	AfrAmr	1	100
BBS7	1	AfrAmr	1	100
BBX	1	AfrAmr	2	50
BCORL1	1	AfrAmr	1	100
BMPR1A	1	AfrAmr	1	100
BPIFB4	1	AfrAmr	3	33.33333333333333
BPIFC	1	AfrAmr	1	100
BRD9	1	AfrAmr	2	50
BRF1	1	AfrAmr	2	50
BRINP2	1	AfrAmr	1	100
BRINP3	1	AfrAmr	5	20
BRPF1	1	AfrAmr	1	100
BRWD3	1	AfrAmr	3	33.33333333333333
BTLA	1	AfrAmr	1	100
BUB1B	1	AfrAmr	2	50
C1orf94	1	AfrAmr	1	100
C1R	1	AfrAmr	1	100
C7	1	AfrAmr	1	100
C9	2	AfrAmr	1	200
C9orf131	1	AfrAmr	1	100
C9orf78	1	AfrAmr	1	100
CACNA1E	1	AfrAmr	3	33.33333333333333
CACNA1F	1	AfrAmr	1	100
CACNA2D4	1	AfrAmr	4	25
CALCR	1	AfrAmr	1	100
CAMLG	1	AfrAmr	1	100
CARD6	1	AfrAmr	4	25
CASR	1	AfrAmr	1	100
CCDC137	1	AfrAmr	2	50
CCDC141	1	AfrAmr	4	25
CCDC85A	1	AfrAmr	3	33.33333333333333
CCNB3	1	AfrAmr	1	100
CD207	1	AfrAmr	2	50
CDH18	2	AfrAmr	6	33.33333333333333
CDH23	1	AfrAmr	3	33.33333333333333
CDH8	1	AfrAmr	6	16.666666666666664
CDHR1	1	AfrAmr	1	100
CDHR5	1	AfrAmr	1	100
CDK18	1	AfrAmr	1	100
CEACAM20	1	AfrAmr	2	50
CERS2	1	AfrAmr	1	100
CFAP61	2	AfrAmr	1	200
CHAT	1	AfrAmr	4	25
CHD9	1	AfrAmr	1	100
CHFR	1	AfrAmr	1	100
CHRM2	1	AfrAmr	3	33.33333333333333
CHRNA1	1	AfrAmr	2	50
CHRNA4	1	AfrAmr	3	33.33333333333333
CITED2	1	AfrAmr	1	100
CLPTM1	1	AfrAmr	1	100
CNTNAP5	1	AfrAmr	6	16.666666666666664
COL12A1	1	AfrAmr	4	25
COL24A1	1	AfrAmr	3	33.33333333333333
COL4A5	1	AfrAmr	1	100
COL6A2	1	AfrAmr	1	100
COPS5	1	AfrAmr	1	100
CP	1	AfrAmr	2	50
CPN1	2	AfrAmr	1	200
CSMD2	2	AfrAmr	4	50
CSMD3	4	AfrAmr	14	28.57142857142857
CT47B1	1	AfrAmr	1	100
CTD-2135J3.4	2	AfrAmr	1	200
CTNND1	1	AfrAmr	1	100
CUL4B	1	AfrAmr	2	50
CYP2F1	1	AfrAmr	2	50
CYSLTR1	1	AfrAmr	1	100
CYSLTR2	1	AfrAmr	1	100
DACT1	1	AfrAmr	2	50
DCAF8L1	1	AfrAmr	2	50
DCBLD1	1	AfrAmr	1	100
DCBLD2	1	AfrAmr	2	50
DDX53	1	AfrAmr	1	100
DHX30	1	AfrAmr	1	100
DLD	1	AfrAmr	1	100
DLGAP1	2	AfrAmr	1	200
DMBT1	1	AfrAmr	2	50
DNAH3	1	AfrAmr	4	25
DNAH7	2	AfrAmr	2	100
DNAJB2	1	AfrAmr	1	100
DPH2	1	AfrAmr	2	50
DPRX	1	AfrAmr	1	100
DPYSL5	1	AfrAmr	1	100
DRP2	1	AfrAmr	5	20
DSC1	1	AfrAmr	1	100
DSP	1	AfrAmr	1	100
DUSP13	1	AfrAmr	1	100
DUSP27	1	AfrAmr	2	50
DYNC1H1	1	AfrAmr	2	50
DYSF	1	AfrAmr	8	12.5
EBP	1	AfrAmr	1	100
ELN	1	AfrAmr	1	100
EMG1	1	AfrAmr	1	100
ENPEP	1	AfrAmr	1	100
ENPP1	1	AfrAmr	1	100
EPHA1	1	AfrAmr	1	100
EPS15	1	AfrAmr	2	50
ERCC5	1	AfrAmr	2	50
ETV5	1	AfrAmr	1	100
EVC2	1	AfrAmr	1	100
FAM110B	1	AfrAmr	2	50
FAM131B	1	AfrAmr	1	100
FAM135A	1	AfrAmr	2	50
FARP1	1	AfrAmr	1	100
FASTKD3	1	AfrAmr	3	33.33333333333333
FBN3	1	AfrAmr	3	33.33333333333333
FBXO11	1	AfrAmr	1	100
FCGBP	1	AfrAmr	4	25
FER1L5	1	AfrAmr	2	50
FGD1	1	AfrAmr	1	100
FGD3	1	AfrAmr	2	50
FIBCD1	1	AfrAmr	1	100
FLG2	1	AfrAmr	2	50
FLNC	1	AfrAmr	4	25
FLT1	1	AfrAmr	1	100
FNDC9	1	AfrAmr	1	100
FREM1	1	AfrAmr	3	33.33333333333333
FSCB	1	AfrAmr	6	16.666666666666664
GAD2	1	AfrAmr	1	100
GAL3ST1	1	AfrAmr	1	100
GDF3	1	AfrAmr	1	100
GFRAL	1	AfrAmr	2	50
GJA1	1	AfrAmr	1	100
GLYATL2	1	AfrAmr	1	100
GMNN	1	AfrAmr	1	100
GNAS	1	AfrAmr	1	100
GNB4	1	AfrAmr	2	50
GNG5	1	AfrAmr	1	100
GOLIM4	1	AfrAmr	1	100
GPD1	1	AfrAmr	2	50
GPR143	1	AfrAmr	1	100
GPR31	1	AfrAmr	1	100
GPR65	1	AfrAmr	1	100
GPRASP1	1	AfrAmr	3	33.33333333333333
GRAMD1C	2	AfrAmr	2	100
GRIA1	1	AfrAmr	2	50
GRIA3	1	AfrAmr	2	50
GRM4	1	AfrAmr	1	100
GTF3C2	1	AfrAmr	1	100
GUCY2F	2	AfrAmr	2	100
GYLTL1B	1	AfrAmr	1	100
GZMB	1	AfrAmr	1	100
HAO1	1	AfrAmr	2	50
HCN1	2	AfrAmr	5	40
HDAC9	2	AfrAmr	3	66.66666666666666
HERC2	1	AfrAmr	4	25
HGF	1	AfrAmr	2	50
HIST1H2AL	1	AfrAmr	1	100
HRNR	1	AfrAmr	1	100
HUWE1	2	AfrAmr	5	40
ICE1	1	AfrAmr	2	50
IGFBP6	1	AfrAmr	1	100
IGHA1	1	AfrAmr	1	100
IGHA2	1	AfrAmr	1	100
IGKV1D-43	1	AfrAmr	2	50
IGSF11	1	AfrAmr	2	50
IL18R1	1	AfrAmr	1	100
IL20RA	1	AfrAmr	1	100
IL26	1	AfrAmr	1	100
IL7R	1	AfrAmr	3	33.33333333333333
IPO9	1	AfrAmr	1	100
ISX	1	AfrAmr	2	50
KATNA1	1	AfrAmr	1	100
KBTBD12	1	AfrAmr	1	100
KCNA5	1	AfrAmr	2	50
KCNJ12	1	AfrAmr	2	50
KCNK10	1	AfrAmr	2	50
KCTD1	1	AfrAmr	1	100
KCTD12	1	AfrAmr	1	100
KHDRBS1	1	AfrAmr	1	100
KIAA0430	1	AfrAmr	1	100
KIAA0556	1	AfrAmr	1	100
KIF2B	1	AfrAmr	7	14.285714285714285
KIF5C	1	AfrAmr	1	100
KLHL12	1	AfrAmr	1	100
KLHL28	1	AfrAmr	2	50
KNG1	1	AfrAmr	2	50
KRT78	1	AfrAmr	1	100
LDHB	1	AfrAmr	1	100
LHCGR	1	AfrAmr	4	25
LHFPL1	1	AfrAmr	1	100
LHX4	1	AfrAmr	1	100
LIG4	1	AfrAmr	1	100
LILRA2	1	AfrAmr	3	33.33333333333333
LILRB1	1	AfrAmr	2	50
LINGO1	1	AfrAmr	2	50
LRBA	1	AfrAmr	1	100
LRP1B	1	AfrAmr	8	12.5
LRP2	1	AfrAmr	4	25
LRR1	1	AfrAmr	1	100
LRRC16B	1	AfrAmr	1	100
LRRIQ1	1	AfrAmr	3	33.33333333333333
LRRIQ4	2	AfrAmr	4	50
LSAMP	1	AfrAmr	3	33.33333333333333
LUC7L2	1	AfrAmr	1	100
LY9	1	AfrAmr	1	100
MAN2B1	1	AfrAmr	1	100
MAP10	1	AfrAmr	1	100
MAP3K7	1	AfrAmr	1	100
MARK3	1	AfrAmr	1	100
MCTS1	1	AfrAmr	1	100
MERTK	1	AfrAmr	3	33.33333333333333
