hugo_symbol	n.x	status	n.y	perc
ABCA12	1	M	15	6.666666666666667
ABCB8	1	M	9	11.11111111111111
ABI2	1	M	6	16.666666666666664
ACO2	1	M	8	12.5
ADAM15	1	M	7	14.285714285714285
ADAM8	1	M	2	50
ADAMTS19	1	M	5	20
ADGRL2	1	M	13	7.6923076923076925
AHNAK	2	M	41	4.878048780487805
AHNAK2	1	M	49	2.0408163265306123
AK8	1	M	2	50
ALDH3B2	1	M	1	100
ALPK2	1	M	15	6.666666666666667
ANKRD11	1	M	20	5
AOC2	1	M	4	25
AOX1	1	M	6	16.666666666666664
APOBEC4	1	M	6	16.666666666666664
ARAP2	1	M	8	12.5
ARFGEF2	1	M	13	7.6923076923076925
ARHGAP11A	1	M	6	16.666666666666664
ARHGAP18	1	M	4	25
ARHGAP26	1	M	7	14.285714285714285
ARHGEF19	1	M	8	12.5
ARID1B	1	M	12	8.333333333333332
ART3	2	M	4	50
ATAT1	2	M	3	66.66666666666666
ATF6B	1	M	7	14.285714285714285
ATG2B	1	M	8	12.5
ATM	1	M	32	3.125
ATP2A3	1	M	7	14.285714285714285
ATP5SL	1	M	3	33.33333333333333
ATPAF1	1	M	3	33.33333333333333
BIN1	1	M	5	20
BPIFB6	2	M	4	50
BRD8	1	M	9	11.11111111111111
BRPF3	1	M	6	16.666666666666664
C14orf39	1	M	4	25
C15orf39	1	M	10	10
C2CD2L	1	M	5	20
C2CD5	1	M	9	11.11111111111111
CACNA1E	1	M	18	5.555555555555555
CACNA1I	1	M	5	20
CAMTA2	1	M	10	10
CAPSL	1	M	4	25
CBFA2T2	1	M	6	16.666666666666664
CBWD2	1	M	3	33.33333333333333
CBX4	2	M	6	33.33333333333333
CCDC167	1	M	2	50
CCDC57	1	M	4	25
CCDC88A	1	M	20	5
CCL13	1	M	1	100
CCNC	1	M	2	50
CCR8	2	M	3	66.66666666666666
CCT3	1	M	8	12.5
CCT6B	1	M	8	12.5
CDC40	1	M	2	50
CDH12	1	M	9	11.11111111111111
CDK12	1	M	14	7.142857142857142
CDS1	1	M	3	33.33333333333333
CECR2	1	M	8	12.5
CEP250	1	M	17	5.88235294117647
CFAP70	1	M	9	11.11111111111111
CGNL1	2	M	8	25
CHD4	1	M	15	6.666666666666667
CHD6	1	M	29	3.4482758620689653
CHD7	1	M	23	4.3478260869565215
CILP2	1	M	8	12.5
CLCN3	1	M	4	25
CLDN15	1	M	2	50
CLTCL1	1	M	11	9.090909090909092
CNBD2	1	M	8	12.5
COL11A1	1	M	19	5.263157894736842
COL11A2	1	M	14	7.142857142857142
COL14A1	1	M	17	5.88235294117647
COL4A1	1	M	11	9.090909090909092
COL7A1	1	M	21	4.761904761904762
COPS2	1	M	5	20
COQ3	1	M	5	20
CPM	1	M	2	50
CPT1A	1	M	6	16.666666666666664
CRAT	1	M	6	16.666666666666664
CRTC3	1	M	6	16.666666666666664
CSE1L	1	M	12	8.333333333333332
CSPG4	2	M	11	18.181818181818183
CSPG5	1	M	6	16.666666666666664
CUBN	1	M	40	2.5
CUL9	1	M	19	5.263157894736842
CUX1	1	M	9	11.11111111111111
CXorf65	1	M	1	100
CYP1A1	1	M	4	25
CYP24A1	1	M	8	12.5
CYP4F8	1	M	6	16.666666666666664
DCAF11	1	M	4	25
DHFR	1	M	1	100
DICER1	3	M	11	27.27272727272727
DMBT1	1	M	11	9.090909090909092
DMD	1	M	16	6.25
DMXL2	2	M	27	7.4074074074074066
DNAJB8	1	M	3	33.33333333333333
DNMBP	1	M	11	9.090909090909092
DPYD	1	M	10	10
DSC2	1	M	4	25
DSEL	1	M	12	8.333333333333332
DUS3L	1	M	3	33.33333333333333
DUSP27	1	M	7	14.285714285714285
DUSP4	1	M	2	50
EEF2	1	M	7	14.285714285714285
EFTUD1	1	M	3	33.33333333333333
EGR3	1	M	5	20
EID3	1	M	2	50
EIF3A	1	M	11	9.090909090909092
EIF3I	1	M	6	16.666666666666664
ENPP6	1	M	4	25
EPB41L3	2	M	7	28.57142857142857
EPC1	1	M	6	16.666666666666664
EPHA1	1	M	8	12.5
ERMN	1	M	3	33.33333333333333
EWSR1	1	M	3	33.33333333333333
EXOC3L4	1	M	3	33.33333333333333
EZH1	1	M	8	12.5
F11R	1	M	5	20
FAM105A	1	M	5	20
FAM118A	1	M	2	50
FAM161A	1	M	10	10
FAM21A	1	M	5	20
FAM84A	1	M	6	16.666666666666664
FANCM	2	M	13	15.384615384615385
FAT1	1	M	17	5.88235294117647
FBN2	1	M	22	4.545454545454546
FBXO18	1	M	8	12.5
FCGRT	1	M	2	50
FCRL3	2	M	8	25
FER	1	M	6	16.666666666666664
FGB	1	M	2	50
FGF1	1	M	2	50
FMO4	1	M	9	11.11111111111111
FOCAD	1	M	10	10
FOXK2	1	M	8	12.5
FREM1	2	M	15	13.333333333333334
FREM2	2	M	28	7.142857142857142
FZD7	1	M	8	12.5
GALNT6	1	M	4	25
GAPVD1	1	M	6	16.666666666666664
GCDH	1	M	5	20
GCFC2	1	M	5	20
GCKR	1	M	8	12.5
GDPD2	1	M	1	100
GDPD3	2	M	3	66.66666666666666
GFOD2	1	M	3	33.33333333333333
GID8	1	M	3	33.33333333333333
GIT2	1	M	7	14.285714285714285
GJA8	1	M	2	50
GLDC	1	M	8	12.5
GLI1	1	M	10	10
GLI3	1	M	14	7.142857142857142
GLMN	1	M	3	33.33333333333333
GLS2	1	M	3	33.33333333333333
GLYR1	1	M	4	25
GOLGA1	1	M	8	12.5
GPR158	1	M	13	7.6923076923076925
GRM7	1	M	13	7.6923076923076925
GRTP1	1	M	3	33.33333333333333
GSE1	1	M	5	20
GTF3C1	1	M	17	5.88235294117647
GYS1	1	M	9	11.11111111111111
HAO1	1	M	3	33.33333333333333
HCK	1	M	8	12.5
HENMT1	1	M	2	50
HERC1	1	M	20	5
HERC3	1	M	3	33.33333333333333
HERC6	1	M	7	14.285714285714285
HIST1H2AH	1	M	2	50
HIST1H3F	1	M	4	25
HKDC1	1	M	7	14.285714285714285
HLA-F	1	M	4	25
HPS6	1	M	4	25
HR	1	M	3	33.33333333333333
HSF4	1	M	3	33.33333333333333
HSPA6	1	M	6	16.666666666666664
IGSF9B	1	M	14	7.142857142857142
IMPACT	1	M	3	33.33333333333333
ING2	2	M	3	66.66666666666666
INHBA	1	M	3	33.33333333333333
IPO5	1	M	6	16.666666666666664
IPO9	1	M	5	20
IQSEC3	1	M	7	14.285714285714285
ITGA6	1	M	7	14.285714285714285
ITGB4	1	M	14	7.142857142857142
JMJD1C	1	M	15	6.666666666666667
KBTBD4	1	M	3	33.33333333333333
KCNA2	1	M	3	33.33333333333333
KCNA5	1	M	10	10
KCNH3	1	M	10	10
KCNH5	1	M	6	16.666666666666664
KCNQ4	1	M	2	50
KCNRG	1	M	4	25
KCTD13	1	M	3	33.33333333333333
KDM5A	1	M	11	9.090909090909092
KIAA0100	1	M	13	7.6923076923076925
KIAA0586	1	M	5	20
KIAA1109	1	M	25	4
KIAA1462	1	M	12	8.333333333333332
KIAA1598	1	M	2	50
KIF1A	1	M	9	11.11111111111111
KLHL13	1	M	4	25
KLHL22	1	M	3	33.33333333333333
KLHL4	1	M	5	20
KMT2C	3	M	37	8.108108108108109
KPNA2	1	M	7	14.285714285714285
KRT27	1	M	2	50
LAMB1	1	M	9	11.11111111111111
LAMB4	1	M	12	8.333333333333332
LARP1	1	M	7	14.285714285714285
LDLRAD2	1	M	3	33.33333333333333
LEMD3	1	M	6	16.666666666666664
LIMCH1	1	M	6	16.666666666666664
LIN7A	1	M	2	50
LINGO1	1	M	4	25
LNX2	1	M	5	20
LPCAT3	1	M	7	14.285714285714285
LRR1	1	M	2	50
LRRC14	1	M	2	50
LRRK2	1	M	25	4
LTB4R2	1	M	3	33.33333333333333
LY6K	1	M	1	100
LYZL2	1	M	4	25
MACF1	1	M	46	2.1739130434782608
MANBAL	1	M	3	33.33333333333333
MAP3K14	2	M	4	50
MAP3K5	1	M	13	7.6923076923076925
MAST4	1	M	11	9.090909090909092
MATN3	1	M	3	33.33333333333333
MCC	1	M	7	14.285714285714285
MCF2	1	M	6	16.666666666666664
MCM10	1	M	7	14.285714285714285
MDN1	1	M	29	3.4482758620689653
MED15	1	M	6	16.666666666666664
MET	1	M	12	8.333333333333332
METAP1	1	M	2	50
MICU1	1	M	4	25
MMP14	1	M	5	20
MMP9	1	M	7	14.285714285714285
MRGPRD	1	M	5	20
MRPL15	1	M	2	50
MRPS17	1	M	4	25
MTHFD2	1	M	4	25
MUC5B	1	M	25	4
MYCBP2	1	M	24	4.166666666666666
MYH10	1	M	17	5.88235294117647
MYL12A	1	M	2	50
MYO5A	1	M	12	8.333333333333332
NAV3	1	M	21	4.761904761904762
NBEAL2	1	M	7	14.285714285714285
NCOA6	1	M	9	11.11111111111111
NDNF	1	M	4	25
NEK7	1	M	5	20
NFKB2	1	M	3	33.33333333333333
NLRC5	1	M	15	6.666666666666667
NLRP8	1	M	14	7.142857142857142
NOTCH4	1	M	13	7.6923076923076925
NPAP1	1	M	10	10
NPY1R	1	M	3	33.33333333333333
NRXN1	1	M	14	7.142857142857142
NRXN2	1	M	11	9.090909090909092
NSUN2	1	M	7	14.285714285714285
NUP205	1	M	24	4.166666666666666
NXF5	1	M	2	50
OAS1	1	M	4	25
OCA2	1	M	16	6.25
OIP5	1	M	4	25
OR10A6	1	M	8	12.5
OR10G2	1	M	1	100
OR14I1	2	M	3	66.66666666666666
OR1S1	1	M	4	25
OR52B2	1	M	2	50
OR5W2	1	M	7	14.285714285714285
OR8G5	1	M	3	33.33333333333333
OTOP3	1	M	2	50
OVCH2	1	M	1	100
PADI6	1	M	3	33.33333333333333
PALMD	1	M	5	20
PASK	1	M	5	20
PCDH10	1	M	12	8.333333333333332
PCDH7	1	M	12	8.333333333333332
PCDHA2	2	M	11	18.181818181818183
PCDHA9	1	M	16	6.25
PCDHB5	1	M	16	6.25
PCDHB8	1	M	20	5
PCDHGA3	1	M	10	10
PCK1	1	M	4	25
PCNX	1	M	11	9.090909090909092
PDCD11	1	M	8	12.5
PDCD5	1	M	2	50
PDE4A	1	M	11	9.090909090909092
PEX6	1	M	5	20
PHF6	1	M	3	33.33333333333333
PHLDB1	1	M	9	11.11111111111111
PIK3CA	1	M	57	1.7543859649122806
PIP4K2A	1	M	6	16.666666666666664
PLEC	1	M	27	3.7037037037037033
PLEKHA6	1	M	8	12.5
PLK1	1	M	5	20
PLXNA1	1	M	8	12.5
POLR3A	1	M	10	10
POM121C	1	M	6	16.666666666666664
PPEF2	1	M	6	16.666666666666664
PPFIA2	1	M	10	10
PPIL4	1	M	6	16.666666666666664
PPP2R3C	1	M	5	20
PRAMEF2	1	M	6	16.666666666666664
PRAMEF4	1	M	4	25
PRKAR1A	1	M	4	25
PRPF18	1	M	5	20
PRPF3	1	M	8	12.5
PRPH2	1	M	3	33.33333333333333
PRR14L	1	M	3	33.33333333333333
PRR7	1	M	3	33.33333333333333
PRRC2A	1	M	17	5.88235294117647
PRRT3	2	M	8	25
PSORS1C2	1	M	1	100
PTGER4	1	M	3	33.33333333333333
PTK2B	1	M	7	14.285714285714285
PTPN9	1	M	10	10
PTPRC	1	M	8	12.5
PXMP4	2	M	2	100
RALGPS1	1	M	5	20
RALGPS2	1	M	8	12.5
RAPGEF3	2	M	6	33.33333333333333
REV3L	1	M	20	5
RHEBL1	1	M	1	100
RHOD	1	M	1	100
RNF123	1	M	13	7.6923076923076925
RNF213	2	M	25	8
RNMT	1	M	3	33.33333333333333
RSPH4A	1	M	7	14.285714285714285
SBNO1	1	M	15	6.666666666666667
SCAF4	1	M	14	7.142857142857142
SCFD1	1	M	6	16.666666666666664
SDR42E1	1	M	2	50
SEC14L2	1	M	4	25
SEC24A	1	M	10	10
SEC31A	1	M	8	12.5
SEMA3D	1	M	11	9.090909090909092
SENP5	1	M	6	16.666666666666664
SETD8	1	M	4	25
SGSM3	1	M	3	33.33333333333333
SIGLEC11	1	M	6	16.666666666666664
SKIV2L2	1	M	8	12.5
SLC10A7	1	M	2	50
SLC18A3	1	M	7	14.285714285714285
SLC27A1	1	M	4	25
SLC39A12	1	M	15	6.666666666666667
SLC6A15	1	M	8	12.5
SLC6A20	1	M	4	25
SLCO1A2	1	M	8	12.5
SLIT1	1	M	10	10
SLITRK1	1	M	8	12.5
SMG8	1	M	8	12.5
SMURF2	1	M	5	20
SNX31	1	M	5	20
SPAG17	1	M	23	4.3478260869565215
SPARCL1	1	M	6	16.666666666666664
SPG11	1	M	10	10
STK32A	1	M	3	33.33333333333333
STPG2	1	M	2	50
STX19	1	M	3	33.33333333333333
STX6	1	M	2	50
STXBP1	1	M	7	14.285714285714285
SULF1	1	M	8	12.5
SUV420H1	1	M	13	7.6923076923076925
SYNE2	3	M	36	8.333333333333332
TAF1D	1	M	4	25
TBC1D1	1	M	16	6.25
TBCD	1	M	9	11.11111111111111
TBCE	1	M	7	14.285714285714285
TCEA3	1	M	4	25
TCF20	1	M	10	10
TCF7	1	M	1	100
TENM1	2	M	16	12.5
TESPA1	1	M	5	20
TET1	1	M	17	5.88235294117647
TFAP2A	1	M	9	11.11111111111111
THEMIS	2	M	7	28.57142857142857
THOC1	1	M	3	33.33333333333333
THRB	1	M	4	25
TINAG	1	M	4	25
TLR4	1	M	4	25
TLR6	1	M	6	16.666666666666664
TMC5	1	M	6	16.666666666666664
